UCO Bank	30.5168232	76.6574394
Mass Communication Block	30.5173747	76.6588278
Teresa Girls Hostel	30.5172499	76.6586186
Old Girls Hostel (OGH)	30.5169265	76.6587473
Socrates Hall	30.5166353	76.6588814
Saraswati Mata	30.5159157	76.6602202
Mech	30.5155602	76.6581192
TQ	30.5147739	76.660105
Neelam Hospital Superspeciality Health Care	30.5188217	76.6585059
Dr. Sidhant Bansal	30.5190116	76.6582124
Le Corbusier Block	30.51726778181818	76.66044661818182
Edison Block	30.51644931111111	76.65991542962963
Newton Block	30.516464080769232	76.65922208846153
Galileo Block	30.515665647368422	76.6591667736842
PYTHAGORAS	30.51513984	76.65908352
Explore Hub	30.515292499999997	76.65941416000001
De Morgan Block	30.516285540000002	76.66033788
Sportorium	30.51581304	76.65822456000001
Exploretorium	30.51588212222222	76.65711938888889
Babbage Block	30.5174623	76.66010594000001
Flemming Block	30.515741054545455	76.66070683636363
Pie Hostel	30.514618640000002	76.6621873
Boys Hostel	30.513846488888888	76.66130425555555
Hospitality Block	30.514886128571426	76.65938241428572
Square One	30.51499768	76.65978458
Turing Block	30.516291742857142	76.66050684285713
Vasco Da Gama	30.51410057777778	76.66196127777778
Admission Block	30.517720559999997	76.65897695999999
